徐家	 黑龙江省哈尔滨市呼兰区利民镇松源村	 √	 　	 　	 哈尔滨铁路局	车站
牙克石	 内蒙古自治区牙克石市迎宾街1号牙克石站	 √	 √	 √	 哈尔滨铁路局	车站
亚布力	 黑龙江省尚志市亚布力镇	 √	 √	 √	 哈尔滨铁路局	车站
亚布力南	 黑龙江省尚志市亚布力镇	 √	 　	 　	 哈尔滨铁路局	车站
烟筒屯	 黑龙江省大庆市杜尔伯特蒙古族自治县烟筒屯镇	 √	 　	 　	 哈尔滨铁路局	车站
羊草	 黑龙江省安达市羊草镇	 √	 　	 　	 哈尔滨铁路局	车站
杨岗	 黑龙江省虎林市杨岗镇杨岗村	 √	 　	 　	 哈尔滨铁路局	车站
一面坡	 黑龙江省尚志市一面坡镇	 √	 　	 　	 哈尔滨铁路局	车站
伊春	 黑龙江省伊春市伊春区新兴东大街4号	 √	 √	 √	 哈尔滨铁路局	车站
伊拉哈	 黑龙江省嫩江县伊拉哈镇伊拉哈车站	 √	 　	 　	 哈尔滨铁路局	车站
伊林	 黑龙江省穆棱市兴源镇	 √	 　	 　	 哈尔滨铁路局	车站
伊图里河	 内蒙古自治区呼伦贝尔牙克石市图里镇	 √	 √	 √	 哈尔滨铁路局	车站
依安	 黑龙江省依安县西南街依安车站	 √	 √	 √	 哈尔滨铁路局	车站
银浪	 黑龙江省大庆市红岗区乘南12街	 √　	 √	 √	 哈尔滨铁路局	车站
迎春	 黑龙江省虎林市迎春镇	 √	 √	 √	 哈尔滨铁路局	车站
永安乡	 黑龙江省鸡东县永安镇农安委	 √	 　	 　	 哈尔滨铁路局	车站
友好	 黑龙江省伊春市友好区东升街	 √	 　	 　	 哈尔滨铁路局	车站
榆树屯	 黑龙江省齐齐哈尔市昂昂溪区榆树屯镇榆树屯车站	 √	 　	 　	 哈尔滨铁路局	车站
玉泉	 黑龙江省哈尔滨市阿城区玉泉街道办事处酒厂大街1号	 √	 　	 　	 哈尔滨铁路局	车站
原林	 内蒙古自治区呼伦贝尔牙克石市库都尔镇	 √	 　	 　	 哈尔滨铁路局	车站
扎赉诺尔	 内蒙古自治区满洲里市扎赉诺尔东湖区扎赉诺尔站	 √	 　	 　	 哈尔滨铁路局	车站
扎赉诺尔西	 内蒙古自治区满洲里市扎赉诺尔矿区站前街	 √	 √	 √	 哈尔滨铁路局	车站
扎兰屯	 内蒙古自治区扎兰屯市铁西路22号	 √	 √	 √	 哈尔滨铁路局	车站
扎罗木得	 内蒙古自治区海拉尔区哈克镇扎罗木得村扎罗木得站	 √	 　	 　	 哈尔滨铁路局	车站
张维屯	 黑龙江省绥化市北林区张维镇	 √	 　	 　	 哈尔滨铁路局	车站
赵光	 黑龙江省黑河市、北安市赵光镇	 　	 　	 　	 哈尔滨铁路局	车站
肇东	 黑龙江省肇东市铁东一道街	 √	 √	 √	 哈尔滨铁路局	车站
周家	 黑龙江省双城市周家镇	 √	 √	 √	 哈尔滨铁路局	�
